timestamp,service,env,latency_ms,cpu_utilization,status,anomaly_iforest,anomaly_zscore_latency,anomaly_zscore_cpu,combined_anomaly,severity,hour
2025-09-15 04:15:00,RDS,prod,128.71,0.387,ERROR,1,1,0,1,5.691,4
2025-09-25 02:15:00,RDS,prod,123.14,0.325,ERROR,1,1,0,1,5.656,2
2025-10-02 10:15:00,EC2,prod,103.44,0.679,ERROR,1,1,0,1,5.061,10
2025-09-14 06:15:00,RDS,prod,108.69,0.358,ERROR,1,1,0,1,4.766,6
2025-09-05 03:30:00,RDS,prod,113.86,0.436,ERROR,1,1,0,1,4.714,3
2025-09-05 12:15:00,EC2,prod,103.04,0.548,ERROR,1,1,0,1,4.5,12
2025-10-02 21:30:00,RDS,prod,96.75,0.372,ERROR,1,1,0,1,4.086,21
2025-09-22 04:45:00,EC2,prod,86.21,0.658,ERROR,1,1,0,1,4.076,4
2025-08-25 23:15:00,EC2,prod,98.66,0.422,ERROR,1,1,0,1,3.979,23
2025-09-14 06:30:00,EC2,prod,90.29,0.487,ERROR,1,1,0,1,3.583,6
2025-10-15 01:30:00,LAMBDA,prod,0.92,0.976,OK,1,0,1,1,3.401,1
2025-09-17 04:45:00,EC2,prod,87.76,0.474,ERROR,1,1,0,1,3.398,4
2025-09-08 19:30:00,LAMBDA,prod,78.93,0.566,ERROR,1,1,0,1,3.317,19
2025-08-29 02:00:00,RDS,prod,64.7,0.66,ERROR,1,1,0,1,2.962,2
2025-09-16 14:00:00,LAMBDA,prod,74.18,0.368,ERROR,1,1,0,1,2.925,14
2025-09-22 12:15:00,EC2,prod,78.97,0.458,ERROR,1,1,0,1,2.874,12
2025-09-23 10:00:00,RDS,prod,53.46,0.119,OK,1,1,0,1,2.871,10
2025-10-01 00:30:00,LAMBDA,prod,2.39,0.844,OK,1,0,1,1,2.78,0
2025-09-18 20:15:00,EC2,prod,16.9,0.98,WARN,1,0,1,1,2.584,20
2025-10-05 02:45:00,LAMBDA,prod,12.68,0.923,OK,0,0,1,1,2.569,2
2025-09-23 11:30:00,EC2,prod,17.71,0.98,WARN,1,0,1,1,2.542,11
2025-09-01 12:15:00,RDS,prod,31.5,0.973,OK,0,0,1,1,2.521,12
2025-10-11 17:45:00,EC2,prod,18.2,0.98,WARN,0,0,1,1,2.517,17
2025-09-06 10:15:00,RDS,prod,39.2,0.873,OK,0,0,1,1,2.511,10
2025-10-15 00:45:00,LAMBDA,prod,5.86,0.821,OK,0,0,1,1,2.505,0
2025-10-07 02:15:00,RDS,prod,42.0,0.073,OK,0,0,1,1,2.463,2
2025-10-13 22:45:00,LAMBDA,prod,12.16,0.013,OK,0,0,1,1,2.445,22
2025-10-06 11:00:00,EC2,prod,19.94,0.98,WARN,1,0,1,1,2.426,11
2025-10-08 18:30:00,RDS,prod,32.04,0.941,ERROR,1,0,1,1,2.418,18
2025-09-19 22:45:00,RDS,prod,44.62,0.126,OK,1,0,0,1,2.382,22
2025-10-03 01:45:00,RDS,prod,46.0,0.144,OK,1,0,0,1,2.379,1
2025-09-18 00:30:00,RDS,prod,46.56,0.153,OK,1,0,0,1,2.371,0
2025-09-03 04:00:00,EC2,prod,44.64,0.133,WARN,1,0,0,1,2.354,4
2025-09-03 17:00:00,RDS,prod,39.29,0.833,OK,0,0,1,1,2.35,17
2025-09-18 11:30:00,RDS,prod,40.4,0.817,OK,0,0,1,1,2.342,11
2025-09-30 05:00:00,LAMBDA,prod,14.39,0.01,OK,0,0,1,1,2.341,5
2025-10-09 07:45:00,RDS,prod,45.26,0.753,OK,1,0,0,1,2.332,7
2025-09-18 18:15:00,LAMBDA,prod,14.82,0.89,OK,0,0,1,1,2.322,18
2025-10-05 12:00:00,LAMBDA,prod,3.48,0.743,ERROR,1,0,0,1,2.307,12
2025-09-10 15:30:00,LAMBDA,prod,13.71,0.032,OK,0,0,1,1,2.285,15
2025-09-10 13:45:00,RDS,prod,46.96,0.719,OK,1,0,0,1,2.28,13
2025-08-27 03:00:00,RDS,prod,38.71,0.815,OK,0,0,1,1,2.246,3
2025-09-24 06:45:00,RDS,prod,53.97,0.278,OK,0,1,0,1,2.243,6
2025-09-24 12:15:00,RDS,prod,36.95,0.835,OK,0,0,1,1,2.237,12
2025-09-30 15:00:00,RDS,prod,48.74,0.215,OK,1,0,0,1,2.23,15
2025-10-13 13:30:00,LAMBDA,prod,12.21,0.833,OK,0,0,1,1,2.223,13
2025-09-08 06:45:00,LAMBDA,prod,54.87,0.603,ERROR,1,1,0,1,2.215,6
2025-09-15 17:45:00,LAMBDA,prod,13.76,0.049,WARN,1,0,1,1,2.213,17
2025-10-12 11:45:00,LAMBDA,prod,11.71,0.822,OK,0,0,1,1,2.204,11
2025-09-06 02:45:00,RDS,prod,48.64,0.678,WARN,1,0,0,1,2.199,2
2025-09-06 03:45:00,LAMBDA,prod,2.39,0.198,WARN,1,0,0,1,2.191,3
2025-10-02 11:30:00,LAMBDA,prod,11.89,0.081,OK,0,0,1,1,2.178,11
2025-08-28 04:15:00,LAMBDA,prod,11.52,0.812,WARN,1,0,0,1,2.172,4
2025-09-25 08:15:00,RDS,prod,37.26,0.815,OK,0,0,1,1,2.17,8
2025-09-10 23:45:00,RDS,prod,44.69,0.719,WARN,1,0,0,1,2.162,23
2025-08-28 07:30:00,EC2,prod,8.93,0.124,WARN,1,0,0,1,2.155,7
2025-10-02 06:45:00,RDS,prod,30.67,0.893,OK,0,0,1,1,2.148,6
2025-09-14 06:45:00,LAMBDA,prod,12.91,0.077,OK,0,0,1,1,2.142,6
2025-09-11 10:30:00,LAMBDA,prod,13.62,0.83,OK,0,0,1,1,2.137,10
2025-09-22 04:45:00,RDS,prod,46.61,0.212,OK,1,0,0,1,2.131,4
2025-10-09 06:15:00,RDS,prod,44.78,0.707,WARN,1,0,0,1,2.117,6
2025-09-29 05:00:00,LAMBDA,prod,0.13,0.653,WARN,1,0,0,1,2.111,5
2025-08-31 13:45:00,EC2,prod,23.56,0.948,WARN,0,0,1,1,2.105,13
2025-10-13 10:45:00,RDS,prod,35.03,0.072,OK,0,0,1,1,2.104,10
2025-09-06 10:45:00,RDS,prod,48.97,0.249,WARN,1,0,0,1,2.101,10
2025-09-08 17:00:00,LAMBDA,prod,2.16,0.224,WARN,1,0,0,1,2.096,17
2025-10-02 00:15:00,LAMBDA,prod,11.29,0.784,WARN,1,0,0,1,2.069,0
2025-10-02 03:00:00,EC2,prod,47.88,0.243,ERROR,1,0,0,1,2.069,3
2025-08-31 07:30:00,LAMBDA,prod,8.5,0.155,WARN,1,0,0,1,2.05,7
2025-09-01 10:45:00,LAMBDA,prod,15.43,0.072,OK,0,0,1,1,2.031,10
2025-09-29 21:00:00,LAMBDA,prod,11.31,0.775,WARN,1,0,0,1,2.031,21
2025-09-02 04:00:00,LAMBDA,prod,5.57,0.701,WARN,1,0,0,1,2.025,4
2025-09-25 06:30:00,LAMBDA,prod,12.69,0.109,WARN,1,0,0,1,2.021,6
2025-10-02 22:00:00,LAMBDA,prod,7.32,0.178,ERROR,1,0,0,1,2.017,22
2025-09-12 09:15:00,RDS,prod,45.76,0.229,WARN,1,0,0,1,2.016,9
2025-09-01 07:15:00,RDS,prod,39.18,0.752,WARN,1,0,0,1,2.011,7
2025-10-08 05:45:00,LAMBDA,prod,4.57,0.685,WARN,1,0,0,1,2.011,5
2025-09-18 02:30:00,RDS,prod,57.18,0.375,OK,0,1,0,1,2.01,2
2025-08-30 07:30:00,EC2,prod,33.75,0.08,OK,0,0,1,1,2.004,7
2025-09-04 00:30:00,LAMBDA,prod,20.96,0.01,OK,0,0,1,1,1.998,0
2025-08-27 11:00:00,LAMBDA,prod,28.24,0.887,OK,0,0,1,1,1.997,11
2025-09-15 07:00:00,EC2,prod,15.21,0.816,OK,0,0,1,1,1.996,7
2025-10-11 02:30:00,EC2,prod,15.77,0.079,OK,0,0,1,1,1.984,2
2025-09-20 10:15:00,LAMBDA,prod,17.84,0.845,OK,0,0,1,1,1.979,10
2025-09-28 08:00:00,RDS,prod,48.2,0.269,WARN,1,0,0,1,1.979,8
2025-09-10 10:30:00,RDS,prod,42.89,0.204,WARN,1,0,0,1,1.97,10
2025-09-02 07:00:00,EC2,prod,16.33,0.823,OK,0,0,1,1,1.967,7
2025-09-09 03:00:00,EC2,prod,29.72,0.038,OK,0,0,1,1,1.967,3
2025-09-09 09:45:00,RDS,prod,45.22,0.665,OK,1,0,0,1,1.967,9
2025-09-15 21:00:00,RDS,prod,33.14,0.817,OK,0,0,1,1,1.964,21
2025-09-09 07:45:00,EC2,prod,32.6,0.08,OK,0,0,1,1,1.944,7
2025-08-28 07:45:00,RDS,prod,54.0,0.351,ERROR,1,1,0,1,1.943,7
2025-09-28 08:00:00,EC2,prod,18.67,0.846,OK,0,0,1,1,1.94,8
2025-09-09 00:45:00,LAMBDA,prod,13.02,0.774,ERROR,1,0,0,1,1.938,0
2025-09-10 18:15:00,RDS,prod,52.72,0.563,ERROR,1,0,0,1,1.938,18
2025-09-17 13:30:00,EC2,prod,17.5,0.83,OK,0,0,1,1,1.935,13
2025-08-25 00:00:00,LAMBDA,prod,4.75,0.234,OK,1,0,0,1,1.92,0
2025-09-26 09:15:00,LAMBDA,prod,7.18,0.204,OK,1,0,0,1,1.917,9
2025-10-12 09:00:00,LAMBDA,prod,14.28,0.785,ERROR,1,0,0,1,1.917,9
2025-09-15 11:45:00,EC2,prod,22.75,0.01,OK,0,0,1,1,1.905,11
2025-10-04 09:00:00,LAMBDA,prod,2.88,0.262,ERROR,1,0,0,1,1.902,9
2025-09-28 13:15:00,EC2,prod,26.86,0.881,OK,0,0,1,1,1.9,13
2025-09-30 03:15:00,EC2,prod,36.15,0.137,WARN,1,0,0,1,1.895,3
2025-09-01 13:00:00,EC2,prod,33.76,0.792,WARN,1,0,0,1,1.893,13
2025-10-03 03:45:00,LAMBDA,prod,18.59,0.833,OK,0,0,1,1,1.89,3
2025-09-24 14:15:00,EC2,prod,21.28,0.035,OK,0,0,1,1,1.878,14
2025-10-01 04:00:00,RDS,prod,40.78,0.699,WARN,1,0,0,1,1.876,4
2025-09-20 01:00:00,EC2,prod,28.43,0.854,OK,0,0,1,1,1.871,1
2025-08-25 17:30:00,LAMBDA,prod,4.5,0.648,WARN,1,0,0,1,1.862,17
2025-09-24 03:30:00,EC2,prod,21.26,0.04,OK,0,0,1,1,1.859,3
2025-08-30 11:45:00,EC2,prod,30.22,0.828,OK,0,0,1,1,1.857,11
2025-10-02 02:15:00,EC2,prod,18.15,0.818,OK,0,0,1,1,1.851,2
2025-09-04 19:30:00,EC2,prod,24.77,0.01,OK,0,0,1,1,1.825,19
2025-08-27 01:45:00,EC2,prod,18.97,0.821,OK,0,0,1,1,1.821,1
2025-09-19 17:45:00,RDS,prod,45.32,0.272,ERROR,1,0,0,1,1.816,17
2025-09-07 01:45:00,RDS,prod,48.0,0.308,OK,1,0,0,1,1.808,1
2025-10-07 10:00:00,LAMBDA,prod,12.69,0.737,ERROR,1,0,0,1,1.802,10
2025-10-15 08:30:00,EC2,prod,19.38,0.079,OK,0,0,1,1,1.796,8
2025-09-14 01:00:00,LAMBDA,prod,1.61,0.595,ERROR,1,0,0,1,1.795,1
2025-09-09 05:45:00,EC2,prod,15.02,0.136,WARN,1,0,0,1,1.788,5
2025-10-10 06:45:00,RDS,prod,29.44,0.079,OK,0,0,1,1,1.784,6
2025-09-12 06:30:00,EC2,prod,22.16,0.048,OK,0,0,1,1,1.779,6
2025-09-09 10:15:00,LAMBDA,prod,7.15,0.661,WARN,1,0,0,1,1.778,10
2025-09-24 19:15:00,RDS,prod,53.82,0.392,OK,0,1,0,1,1.765,19
2025-09-03 14:00:00,LAMBDA,prod,7.28,0.658,ERROR,1,0,0,1,1.759,14
2025-09-08 00:00:00,EC2,prod,19.76,0.816,OK,0,0,1,1,1.759,0
2025-09-16 21:30:00,RDS,prod,42.83,0.256,WARN,1,0,0,1,1.752,21
2025-10-02 17:45:00,RDS,prod,41.85,0.244,ERROR,1,0,0,1,1.751,17
2025-09-23 11:45:00,RDS,prod,50.52,0.545,OK,1,0,0,1,1.749,11
2025-09-22 03:00:00,LAMBDA,prod,11.53,0.708,WARN,1,0,0,1,1.743,3
2025-09-06 14:15:00,RDS,prod,36.61,0.719,ERROR,1,0,0,1,1.741,14
2025-09-20 08:45:00,EC2,prod,28.31,0.076,OK,0,0,1,1,1.737,8
2025-09-29 12:00:00,RDS,prod,46.79,0.589,WARN,1,0,0,1,1.736,12
2025-09-23 05:15:00,LAMBDA,prod,2.46,0.591,ERROR,1,0,0,1,1.734,5
2025-09-15 22:15:00,RDS,prod,40.33,0.23,ERROR,1,0,0,1,1.729,22
2025-09-07 09:00:00,RDS,prod,39.34,0.679,OK,1,0,0,1,1.718,9
2025-09-17 18:45:00,EC2,prod,29.49,0.097,WARN,1,0,0,1,1.712,18
2025-10-08 02:45:00,RDS,prod,43.77,0.28,ERROR,1,0,0,1,1.702,2
2025-09-14 05:45:00,RDS,prod,33.95,0.158,WARN,1,0,0,1,1.693,5
2025-09-28 13:30:00,EC2,prod,21.45,0.078,WARN,1,0,1,1,1.692,13
2025-10-07 13:15:00,LAMBDA,prod,0.92,0.342,ERROR,1,0,0,1,1.674,13
2025-09-19 17:45:00,EC2,prod,13.09,0.189,ERROR,1,0,0,1,1.671,17
2025-09-29 01:30:00,RDS,prod,46.9,0.571,OK,1,0,0,1,1.667,1
2025-09-19 08:45:00,RDS,prod,53.43,0.411,OK,0,1,0,1,1.666,8
2025-10-13 10:30:00,RDS,prod,45.42,0.589,WARN,1,0,0,1,1.664,10
2025-09-15 16:15:00,RDS,prod,40.25,0.653,ERROR,1,0,0,1,1.658,16
2025-08-27 08:30:00,EC2,prod,24.73,0.848,OK,0,0,1,1,1.653,8
2025-09-02 23:30:00,LAMBDA,prod,8.19,0.641,ERROR,1,0,0,1,1.641,23
2025-10-15 11:30:00,RDS,prod,37.6,0.218,WARN,1,0,0,1,1.636,11
2025-09-27 08:15:00,RDS,prod,48.28,0.354,OK,1,0,0,1,1.633,8
2025-09-14 12:15:00,LAMBDA,prod,9.99,0.238,ERROR,1,0,0,1,1.63,12
2025-10-13 08:00:00,RDS,prod,45.36,0.581,WARN,1,0,0,1,1.628,8
2025-09-25 11:45:00,RDS,prod,53.64,0.476,OK,0,1,0,1,1.627,11
2025-09-18 13:45:00,RDS,prod,42.76,0.613,WARN,1,0,0,1,1.624,13
2025-09-10 02:00:00,EC2,prod,26.66,0.815,WARN,0,0,1,1,1.618,2
2025-10-15 04:45:00,EC2,prod,26.47,0.082,OK,0,0,1,1,1.617,4
2025-09-03 21:15:00,LAMBDA,prod,8.38,0.635,WARN,1,0,0,1,1.606,21
2025-09-08 17:45:00,RDS,prod,35.48,0.199,ERROR,1,0,0,1,1.604,17
2025-09-09 04:45:00,EC2,prod,22.6,0.814,OK,0,0,1,1,1.603,4
2025-10-04 09:30:00,EC2,prod,27.96,0.105,ERROR,1,0,0,1,1.599,9
2025-09-01 08:00:00,LAMBDA,prod,17.88,0.753,WARN,1,0,0,1,1.598,8
2025-09-09 10:15:00,LAMBDA,prod,6.93,0.614,WARN,1,0,0,1,1.595,10
2025-08-30 10:45:00,LAMBDA,prod,9.2,0.642,WARN,1,0,0,1,1.593,10
2025-09-04 13:45:00,EC2,prod,25.52,0.823,OK,0,0,1,1,1.591,13
2025-09-10 04:45:00,EC2,prod,25.52,0.077,WARN,1,0,1,1,1.588,4
2025-10-11 15:45:00,LAMBDA,prod,24.1,0.827,OK,0,0,1,1,1.578,15
2025-08-25 12:30:00,LAMBDA,prod,7.96,0.62,ERROR,1,0,0,1,1.567,12
2025-09-22 14:45:00,EC2,prod,25.76,0.085,OK,0,0,1,1,1.567,14
2025-09-18 05:00:00,RDS,prod,37.86,0.656,WARN,1,0,0,1,1.546,5
2025-10-14 11:00:00,RDS,prod,31.93,0.169,WARN,1,0,0,1,1.543,11
