date,account,env,service,region,usage_qty,unit,unblended_cost,avg_cpu,p95_cpu,tag_team
2024-01-01,acct-prod-1,prod,EC2,us-east-1,483.6160423693123,Hrs,189.96,0.52,0.59,TeamC
2024-01-01,acct-prod-1,prod,EC2,us-west-2,719.5285030043361,Hrs,168.0,0.2,0.35,TeamA
2024-01-01,acct-prod-1,prod,RDS,us-east-1,642.366129874883,Hrs,118.8,0.23,0.3,TeamB
2024-01-01,acct-prod-1,prod,RDS,us-west-2,466.48567937572625,Hrs,100.99,0.53,0.6,TeamC
2024-01-01,acct-prod-1,prod,S3,us-east-1,436.95142241618913,GB,78.59,,,TeamC
2024-01-01,acct-prod-1,prod,S3,us-west-2,215.0191752783347,GB,95.46,,,TeamC
2024-01-01,acct-prod-1,prod,Lambda,us-east-1,72.41806014809382,GB,34.73,,,TeamB
2024-01-01,acct-prod-1,prod,Lambda,us-west-2,323.1087262943261,GB,44.93,,,TeamC
2024-01-01,acct-prod-1,dev,EC2,us-east-1,495.4350301599322,Hrs,214.66,0.22,0.33,TeamB
2024-01-01,acct-prod-1,dev,EC2,us-west-2,691.5031428734524,Hrs,213.0,0.48,0.56,TeamC
2024-01-01,acct-prod-1,dev,RDS,us-east-1,440.5616887330729,Hrs,113.69,0.75,0.91,TeamC
2024-01-01,acct-prod-1,dev,RDS,us-west-2,707.4185146498398,Hrs,83.54,0.33,0.44,TeamB
2024-01-01,acct-prod-1,dev,S3,us-east-1,167.1873962422991,GB,81.27,,,TeamA
2024-01-01,acct-prod-1,dev,S3,us-west-2,527.7263851831223,GB,68.51,,,TeamC
2024-01-01,acct-prod-1,dev,Lambda,us-east-1,178.35909544590416,GB,38.77,,,TeamC
2024-01-01,acct-prod-1,dev,Lambda,us-west-2,115.03333255827445,GB,45.05,,,TeamA
2024-01-01,acct-dev-1,prod,EC2,us-east-1,578.4100362184604,Hrs,208.48,0.74,0.92,TeamB
2024-01-01,acct-dev-1,prod,EC2,us-west-2,456.0983979367658,Hrs,167.63,0.57,0.7,TeamB
2024-01-01,acct-dev-1,prod,RDS,us-east-1,781.184440587396,Hrs,115.49,0.6,0.76,TeamB
2024-01-01,acct-dev-1,prod,RDS,us-west-2,769.8782097836798,Hrs,89.44,0.6,0.66,TeamA
2024-01-01,acct-dev-1,prod,S3,us-east-1,242.82432688529386,GB,70.46,,,TeamA
2024-01-01,acct-dev-1,prod,S3,us-west-2,401.9402738057383,GB,80.27,,,TeamA
2024-01-01,acct-dev-1,prod,Lambda,us-east-1,85.16857907760169,GB,40.64,,,TeamC
2024-01-01,acct-dev-1,prod,Lambda,us-west-2,77.63858640786194,GB,36.64,,,TeamA
2024-01-01,acct-dev-1,dev,EC2,us-east-1,649.8291185578275,Hrs,183.65,0.25,0.37,TeamB
2024-01-01,acct-dev-1,dev,EC2,us-west-2,443.13088182157276,Hrs,203.15,0.32,0.39,TeamA
2024-01-01,acct-dev-1,dev,RDS,us-east-1,1936.5379483932443,Hrs,429.74,0.22,0.35,TeamB
2024-01-01,acct-dev-1,dev,RDS,us-west-2,378.156984130075,Hrs,88.88,0.76,0.86,TeamA
2024-01-01,acct-dev-1,dev,S3,us-east-1,381.6253449824001,GB,76.92,,,TeamB
2024-01-01,acct-dev-1,dev,S3,us-west-2,541.8523583590987,GB,86.28,,,TeamA
2024-01-01,acct-dev-1,dev,Lambda,us-east-1,137.1651492189003,GB,36.27,,,TeamC
2024-01-01,acct-dev-1,dev,Lambda,us-west-2,186.17841851474304,GB,36.46,,,TeamB
2024-01-02,acct-prod-1,prod,EC2,us-east-1,630.4536974516894,Hrs,202.47,0.51,0.58,TeamC
2024-01-02,acct-prod-1,prod,EC2,us-west-2,622.5622555509211,Hrs,179.37,0.79,0.9,TeamC
2024-01-02,acct-prod-1,prod,RDS,us-east-1,366.2163236478689,Hrs,83.61,0.23,0.29,TeamC
2024-01-02,acct-prod-1,prod,RDS,us-west-2,209.55534264501017,Hrs,88.81,0.34,0.41,TeamA
2024-01-02,acct-prod-1,prod,S3,us-east-1,181.4018530679889,GB,86.11,,,TeamA
2024-01-02,acct-prod-1,prod,S3,us-west-2,466.27846221285125,GB,85.62,,,TeamC
2024-01-02,acct-prod-1,prod,Lambda,us-east-1,126.47867249632674,GB,46.04,,,TeamB
2024-01-02,acct-prod-1,prod,Lambda,us-west-2,233.51589848559377,GB,47.71,,,TeamA
2024-01-02,acct-prod-1,dev,EC2,us-east-1,363.88559007271067,Hrs,167.45,0.54,0.64,TeamC
2024-01-02,acct-prod-1,dev,EC2,us-west-2,488.1675020239595,Hrs,216.03,0.38,0.57,TeamC
2024-01-02,acct-prod-1,dev,RDS,us-east-1,319.4420580634974,Hrs,117.43,0.51,0.61,TeamA
2024-01-02,acct-prod-1,dev,RDS,us-west-2,1161.268374910217,Hrs,371.02,0.58,0.73,TeamA
2024-01-02,acct-prod-1,dev,S3,us-east-1,1819.26991632668,GB,312.06,,,TeamC
2024-01-02,acct-prod-1,dev,S3,us-west-2,274.65507181605716,GB,87.07,,,TeamC
2024-01-02,acct-prod-1,dev,Lambda,us-east-1,191.72189820525998,GB,37.88,,,TeamB
2024-01-02,acct-prod-1,dev,Lambda,us-west-2,103.0670696975146,GB,47.66,,,TeamC
2024-01-02,acct-dev-1,prod,EC2,us-east-1,675.9700505711129,Hrs,223.58,0.44,0.52,TeamA
2024-01-02,acct-dev-1,prod,EC2,us-west-2,490.7335977830964,Hrs,199.94,0.13,0.33,TeamB
2024-01-02,acct-dev-1,prod,RDS,us-east-1,476.318170782069,Hrs,118.16,0.11,0.3,TeamA
2024-01-02,acct-dev-1,prod,RDS,us-west-2,207.48593311123636,Hrs,102.11,0.15,0.25,TeamC
2024-01-02,acct-dev-1,prod,S3,us-east-1,291.44341745656646,GB,72.59,,,TeamB
2024-01-02,acct-dev-1,prod,S3,us-west-2,286.43275709209036,GB,93.96,,,TeamB
2024-01-02,acct-dev-1,prod,Lambda,us-east-1,268.1481039527942,GB,41.84,,,TeamC
2024-01-02,acct-dev-1,prod,Lambda,us-west-2,83.5661669783615,GB,36.72,,,TeamA
2024-01-02,acct-dev-1,dev,EC2,us-east-1,994.3063393983415,Hrs,216.2,0.67,0.84,TeamA
2024-01-02,acct-dev-1,dev,EC2,us-west-2,2046.762243243759,Hrs,208.92,0.54,0.62,TeamB
2024-01-02,acct-dev-1,dev,RDS,us-east-1,475.47886013319953,Hrs,111.83,0.36,0.43,TeamC
2024-01-02,acct-dev-1,dev,RDS,us-west-2,659.6917514012512,Hrs,106.88,0.79,0.96,TeamB
2024-01-02,acct-dev-1,dev,S3,us-east-1,151.4450261849779,GB,64.98,,,TeamB
2024-01-02,acct-dev-1,dev,S3,us-west-2,188.30358184762332,GB,81.19,,,TeamA
2024-01-02,acct-dev-1,dev,Lambda,us-east-1,221.18591958540412,GB,39.32,,,TeamB
2024-01-02,acct-dev-1,dev,Lambda,us-west-2,104.11464721935464,GB,40.65,,,TeamA
2024-01-03,acct-prod-1,prod,EC2,us-east-1,2040.4453922505838,Hrs,237.56,0.38,0.49,TeamB
2024-01-03,acct-prod-1,prod,EC2,us-west-2,342.7962064163992,Hrs,166.28,0.69,0.84,TeamA
2024-01-03,acct-prod-1,prod,RDS,us-east-1,297.2755061838689,Hrs,82.33,0.27,0.33,TeamA
2024-01-03,acct-prod-1,prod,RDS,us-west-2,220.78795193214287,Hrs,106.41,0.62,0.75,TeamB
2024-01-03,acct-prod-1,prod,S3,us-east-1,267.63870877004683,GB,87.36,,,TeamC
2024-01-03,acct-prod-1,prod,S3,us-west-2,2495.618203617117,GB,295.48,,,TeamA
2024-01-03,acct-prod-1,prod,Lambda,us-east-1,217.37585805897828,GB,36.98,,,TeamB
2024-01-03,acct-prod-1,prod,Lambda,us-west-2,185.3660505397957,GB,44.21,,,TeamB
2024-01-03,acct-prod-1,dev,EC2,us-east-1,562.1877631504744,Hrs,194.71,0.54,0.6,TeamC
2024-01-03,acct-prod-1,dev,EC2,us-west-2,536.6704441272453,Hrs,161.22,0.48,0.63,TeamC
2024-01-03,acct-prod-1,dev,RDS,us-east-1,332.1569999950834,Hrs,117.77,0.66,0.81,TeamC
2024-01-03,acct-prod-1,dev,RDS,us-west-2,332.2313271839112,Hrs,105.73,0.76,0.87,TeamA
2024-01-03,acct-prod-1,dev,S3,us-east-1,404.8368680194404,GB,84.85,,,TeamC
2024-01-03,acct-prod-1,dev,S3,us-west-2,219.03815242158666,GB,76.07,,,TeamC
2024-01-03,acct-prod-1,dev,Lambda,us-east-1,75.6684757692198,GB,33.14,,,TeamB
2024-01-03,acct-prod-1,dev,Lambda,us-west-2,125.49635710615165,GB,37.45,,,TeamB
2024-01-03,acct-dev-1,prod,EC2,us-east-1,478.3687990494753,Hrs,215.74,0.61,0.79,TeamA
2024-01-03,acct-dev-1,prod,EC2,us-west-2,622.5800224705102,Hrs,203.84,0.5,0.66,TeamB
2024-01-03,acct-dev-1,prod,RDS,us-east-1,201.41285472750093,Hrs,90.0,0.49,0.58,TeamC
2024-01-03,acct-dev-1,prod,RDS,us-west-2,779.0102314124789,Hrs,110.03,0.73,0.86,TeamA
2024-01-03,acct-dev-1,prod,S3,us-east-1,290.36839898482117,GB,74.24,,,TeamA
2024-01-03,acct-dev-1,prod,S3,us-west-2,408.2645184775288,GB,92.97,,,TeamB
2024-01-03,acct-dev-1,prod,Lambda,us-east-1,144.10107518770943,GB,42.83,,,TeamA
2024-01-03,acct-dev-1,prod,Lambda,us-west-2,104.10333225204704,GB,33.47,,,TeamA
2024-01-03,acct-dev-1,dev,EC2,us-east-1,529.4972098195858,Hrs,220.19,0.16,0.29,TeamC
2024-01-03,acct-dev-1,dev,EC2,us-west-2,607.056396584237,Hrs,239.67,0.48,0.64,TeamC
2024-01-03,acct-dev-1,dev,RDS,us-east-1,246.8264336573956,Hrs,85.72,0.17,0.23,TeamA
2024-01-03,acct-dev-1,dev,RDS,us-west-2,194.6389731409204,Hrs,88.9,0.2,0.33,TeamB
2024-01-03,acct-dev-1,dev,S3,us-east-1,384.97412302607086,GB,95.57,,,TeamA
2024-01-03,acct-dev-1,dev,S3,us-west-2,234.98605974761253,GB,94.31,,,TeamB
